,ticker,1Y,5Y
0,TEAM,3.69434,65.80396
0,TTD,60.52417,488.69522
0,WDAY,16.30404,58.18677
0,ZS,15.68193,345.71971
0,AAOI,158.159,70.75646
0,AAT,56.54152,-42.29398
0,ABCB,74.57343,49.12784
0,ABG,15.46997,116.99377
0,ABM,35.35278,44.08174
0,ABOS,-18.429,-86.56716
0,ABR,10.34483,10.26393
0,ABSI,231.14754,-81.28763
0,ABUS,140.8284,362.5
0,ACA,36.52529,170.80081
0,ACAD,-33.75224,-65.86494
0,ACCD,-49.70238,514.54545
0,ACCO,2.62097,-48.68952
0,ACDC,-36.9164,-67.91828
0,ACEL,8.11339,7.48299
0,ACHR,-36.51452,-69.30792
0,ACHV,29.01554,-83.28859
0,ACIC,42.81806,-18.81804
0,ACIW,136.46889,56.98959
0,ACLS,-36.81081,399.18078
0,ACLX,178.81408,437.38095
0,ACMR,5.85959,337.21461
0,ACNB,28.0,24.27184
0,ACRE,-27.37307,-57.21717
0,ACRV,48.52399,-51.6226
0,ACT,33.30866,75.79307
0,ACTG,35.69405,77.40741
0,ACVA,33.07087,-40.512
0,ADCT,343.55985,-89.47723
0,ADEA,43.42723,124.63235
0,ADMA,407.14286,227.46331
0,ADNT,-36.44366,-6.19316
0,ADPT,8.85167,-82.75208
0,ADTN,-8.74636,-33.47503
0,ADUS,63.91288,55.0071
0,ADV,23.26531,-70.96154
0,ADVM,-16.90141,-88.33333
0,AEHR,-49.8885,778.77095
0,AEIS,21.71333,103.46312
0,AEO,20.3271,30.54499
0,AESI,0.55696203,17.16814
0,AEVA,35.76389,-92.06091
0,AEYE,498.92473,798.3871
0,AFCG,35.5615,-35.57814
0,AFRI,-4.08922,1.17647
0,AGEN,-74.28571,-91.21094
0,AGIO,117.84351,36.62478
0,AGL,-85.09284,-90.93548
0,AGM,27.98604,112.4942
0,AGS,58.74317,4.68468
0,AGX,193.86364,228.33926
0,AGYS,83.78717,344.00756
0,AHCO,44.85981,6.47694
0,AHH,10.99899,-40.08715
0,AHR,86.00605,86.00605
0,AI,4.07332,-72.37539
0,AILE,-84.70806,-84.70806
0,AIN,-9.90803,-14.95543
0,AIOT,16.14256,16.14256
0,AIP,27.25664,-60.49451
0,AIR,9.31082,56.01093
0,AIRS,-18.19484,-64.06545
0,AISP,-80.85106,-78.87755
0,AIT,49.70707,310.67857
0,AIV,36.52313,-84.37956
0,AKA,216.09871,-77.56089
0,AKBA,63.15351,-66.98795
0,AKR,77.86765,-17.69309
0,AKRO,155.7947,46.93295
0,AKYA,-15.21127,-84.95
0,ALCO,9.38689,-22.45204
0,ALDX,271.14094,-5.30822
