,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Ticker,Industry,roce_rank,ticker,coef,r_squared,std,coef_rank,std_rank,average_score,final_score
92,1481,AVY,Return on Capital Employed,0.1511,0.1755,0.2245,0.2062,0.192,0.0998,0.1926,0.1952,0.2103,0.1477,,AVY,Materials,244.0,AVY,0.0,0.001076645479301197,0.03527997874149019,387.5,342.0,112.54166666666669,258.0
93,1497,AXS,Return on Capital Employed,0.1338,0.1014,0.0786,-0.0479,0.0132,0.0171,-0.0022,0.0285,0.0118,0.0467,,AXS,Financials,646.0,AXS,-0.00921575757619206,0.27216413596236255,0.050739077642385264,662.0,478.0,209.86666666666667,714.0
94,1513,AXTA,Return on Capital Employed,0.0466,0.0711,0.0526,0.0566,0.0747,0.0851,0.0455,0.0806,0.07,0.097,,AXTA,Materials,415.0,AXTA,0.0034121212122806884,0.35813331608701926,0.01637680066435444,190.0,137.0,83.18333333333334,141.0
95,1529,AZO,Return on Capital Employed,0.6148,0.5756,0.527,0.4629,0.4193,0.5055,0.297,0.412,0.4891,0.4648,,AZO,Consumer Discretionary,15.0,AZO,-0.01783030303115873,0.3619154662910097,0.08512990073998677,743.0,675.0,171.4666666666667,558.0
96,1545,AZPN,Return on Capital Employed,0.9088,9.4999,-16.4417,-0.9764,-0.8806,0.5333,0.2831,0.2987,0.0019,-0.0128,-0.0032,AZPN,Information Technology,837.0,AZPN,0.0,0.0016815668592944366,5.991507031924439,387.5,931.0,201.29166666666666,683.0
97,1561,CAR,Return on Capital Employed,0.0389,0.0357,0.0304,0.0249,0.0261,0.0222,-0.0468,0.0955,0.1667,0.0969,,CAR,Industrials,416.0,CAR,0.009366666667109455,0.24178646018538175,0.054713695726024573,130.0,506.0,90.73333333333333,160.0
98,1577,T,Return on Capital Employed,0.0527,0.069,0.069,0.058,0.069,0.0535,0.008,0.0723,0.0039,0.0712,,T,Communication Services,526.0,T,0.0,0.09809567755487014,0.02435513087626507,387.5,209.0,134.09166666666667,381.0
99,1593,TEAM,Return on Capital Employed,0.1657,-0.0032,-0.0064,-0.0623,-0.0301,-0.873,-0.3389,-0.8058,-0.3049,-0.1351,-0.0197,TEAM,Information Technology,901.0,TEAM,-0.06356848485148323,0.30398801012007237,0.3311620841823532,808.0,895.0,282.98333333333335,810.0
100,1609,AZEK,Return on Capital Employed,,,,-0.0594,0.0295,0.0336,-0.0328,0.0683,0.0549,0.0579,,AZEK,Industrials,593.5,AZEK,,,0.045251911674581015,,427.0,,
101,1625,AZTA,Return on Capital Employed,0.0445,0.028,0.0115,0.1213,0.0847,0.0259,0.0577,-0.0318,-0.0015,-0.0119,,AZTA,Health Care,835.0,AZTA,-0.007152727273064172,0.22035307469472776,0.043766224420207875,637.0,414.0,220.98333333333335,750.0
102,1641,BAC,Return on Capital Employed,0.0088,0.0156,0.0163,0.0188,0.0228,0.0229,0.0097,0.0123,0.0169,0.0458,,BAC,Financials,651.0,BAC,0.00178727272735677,0.2618031069028429,0.010032990581078007,212.0,60.0,106.96666666666665,223.0
103,1657,BALL,Return on Capital Employed,0.1401,0.0617,0.0286,0.0611,0.0754,0.081,0.0695,0.0948,0.0922,0.0283,,BALL,Materials,740.5,BALL,0.0,0.058207351007062424,0.031090707614977182,387.5,285.0,159.34166666666667,509.0
104,1673,BAX,Return on Capital Employed,0.1577,0.0737,0.392,0.0906,0.1353,0.0716,0.085,0.0566,-0.0832,0.1439,,BAX,Health Care,255.5,BAX,-0.018060606061462252,0.21105097709387066,0.11291863265201187,746.0,762.0,200.41666666666666,679.0
